Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50.0,No,Travel_Rarely,Research & Development,1.0,College,Medical,Very High,Male,High,Manager,Research Director,Very High,Divorced,17399,6615,9,No,22,Outstanding,High,1,32,1,Good,5,4,1,3
36.0,No,Travel_Rarely,Research & Development,6.0,College,Medical,Medium,Male,High,Officer,Manufacturing Director,Medium,Divorced,4941,2819,6,No,20,Outstanding,Very High,2,7,0,Better,3,2,0,1
21.0,Yes,Travel_Rarely,Sales,7.0,Below College,Marketing,Medium,Male,High,Staff,Sales Representative,Medium,Single,2679,4567,1,No,13,Excellent,Medium,0,1,3,Better,1,0,1,0
50.0,No,Travel_Frequently,Human Resources,8.0,Bachelor,Medical,Low,Male,High,Senior Manager,Manager,Medium,Married,18200,7999,1,No,11,Excellent,High,1,32,2,Better,32,5,10,7
52.0,No,Travel_Rarely,Research & Development,7.0,Master,Life Sciences,Medium,Male,High,Assistant Manager,Healthcare Representative,Medium,Single,10445,15322,7,No,19,Excellent,Very High,0,18,4,Better,8,6,4,0
33.0,Yes,Travel_Rarely,Research & Development,15.0,Below College,Medical,Medium,Male,High,Assistant Manager,Manager,High,Married,13610,24619,7,Yes,12,Excellent,Very High,0,15,2,Best,7,6,7,7
47.0,No,Travel_Rarely,Research & Development,4.0,Bachelor,Life Sciences,High,Female,Medium,Assistant Manager,Manufacturing Director,Medium,Divorced,10333,19271,8,Yes,12,Excellent,High,1,28,4,Better,22,11,14,10
22.0,No,Travel_Rarely,Research & Development,1.0,College,Life Sciences,Very High,Male,Medium,Officer,Manufacturing Director,Very High,Married,4775,19146,6,No,22,Outstanding,Low,2,4,2,Bad,2,2,2,2
37.0,Yes,Travel_Rarely,Research & Development,2.0,Master,Medical,High,Male,High,Staff,Research Scientist,High,Single,4382,16374,6,No,17,Excellent,Very High,0,5,3,Good,2,2,2,1
33.0,No,Non-Travel,Sales,16.0,Bachelor,Life Sciences,High,Female,High,Officer,Sales Executive,Very High,Divorced,5368,16130,1,Yes,25,Outstanding,High,1,7,2,Better,6,5,1,2
40.0,No,Travel_Rarely,Sales,4.0,Master,Marketing,High,Male,Medium,Assistant Manager,Sales Executive,Very High,Married,10855,8552,7,No,11,Excellent,Low,1,15,2,Good,12,11,2,11
27.0,No,Travel_Frequently,Sales,2.0,Below College,Life Sciences,Very High,Male,Low,Officer,Sales Executive,Very High,Single,5071,20392,3,No,20,Outstanding,Medium,0,8,3,Better,6,2,0,0
40.0,No,Travel_Rarely,Research & Development,1.0,Master,Life Sciences,Low,Male,High,Staff,Laboratory Technician,Very High,Married,2406,4060,8,No,19,Excellent,High,2,8,3,Good,1,0,0,0
55.0,No,Travel_Frequently,Research & Development,2.0,Below College,Life Sciences,Very High,Male,High,Assistant Manager,Manufacturing Director,Medium,Married,10976,15813,3,No,18,Excellent,Medium,1,23,4,Better,3,2,1,2
33.0,Yes,Travel_Rarely,Research & Development,25.0,Bachelor,Medical,Low,Male,Medium,Staff,Research Scientist,Medium,Single,2313,2993,4,Yes,20,Outstanding,Medium,0,5,0,Better,2,2,2,2
37.0,Yes,Travel_Rarely,Sales,1.0,Master,Life Sciences,Low,Male,Medium,Assistant Manager,Sales Executive,High,Married,10609,14922,5,No,11,Excellent,High,0,17,2,Bad,14,1,11,7
34.0,No,Travel_Rarely,Sales,8.0,College,Life Sciences,Very High,Female,Low,Officer,Sales Executive,Very High,Single,6029,25353,5,No,12,Excellent,Low,0,6,3,Better,2,2,2,2
46.0,No,Travel_Rarely,Sales,4.0,College,Marketing,Very High,Female,Medium,Senior Manager,Manager,Medium,Married,18789,9946,2,No,14,Excellent,High,1,26,2,Better,11,4,0,8
38.0,No,Travel_Rarely,Sales,14.0,Bachelor,Life Sciences,High,Male,High,Officer,Sales Executive,Medium,Married,9924,12355,0,No,11,Excellent,Very High,1,10,3,Better,9,8,7,7
30.0,No,Travel_Rarely,Research & Development,6.0,Bachelor,Technical Degree,Low,Female,Medium,Officer,Laboratory Technician,Very High,Married,4627,23631,0,No,12,Excellent,Low,1,10,6,Better,9,2,6,7
34.0,No,Travel_Rarely,Human Resources,8.0,College,Human Resources,High,Male,High,Staff,Human Resources,Very High,Married,3737,2243,0,No,19,Excellent,High,1,4,1,Bad,3,2,0,2
34.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Life Sciences,Very High,Female,High,Officer,Research Scientist,Medium,Divorced,5433,19332,1,No,12,Excellent,High,1,11,2,Better,11,8,7,9
36.0,No,Non-Travel,Sales,15.0,Master,Marketing,Very High,Male,Low,Officer,Sales Executive,Very High,Divorced,5406,10436,1,No,24,Outstanding,Low,1,15,4,Good,15,12,11,11
37.0,No,Travel_Rarely,Human Resources,26.0,Master,Life Sciences,High,Female,High,Assistant Manager,Human Resources,Very High,Single,8837,16642,1,Yes,16,Excellent,High,0,9,2,Better,9,0,1,7
37.0,No,Travel_Rarely,Research & Development,16.0,Bachelor,Life Sciences,Very High,Male,High,Assistant Manager,Healthcare Representative,High,Married,7632,14295,4,Yes,12,Excellent,High,0,10,2,Better,8,7,0,0
40.0,No,Travel_Rarely,Sales,7.0,Master,Medical,Medium,Male,High,Senior Manager,Manager,Medium,Single,19833,4349,1,No,14,Excellent,Medium,0,21,3,Good,21,8,12,8
24.0,No,Travel_Rarely,Sales,8.0,College,Other,Low,Female,High,Officer,Sales Executive,High,Married,4999,17519,0,No,21,Outstanding,Low,1,4,2,Good,3,2,0,2
53.0,No,Travel_Rarely,Sales,2.0,College,Medical,High,Male,High,Manager,Manager,High,Divorced,14852,13938,6,No,13,Excellent,High,1,22,3,Best,17,13,15,2
32.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Medical,Very High,Male,High,Officer,Research Scientist,Medium,Divorced,5470,25518,0,No,13,Excellent,High,2,10,4,Good,9,5,1,6
37.0,Yes,Travel_Frequently,Research & Development,2.0,College,Medical,High,Male,Medium,Staff,Laboratory Technician,Low,Single,2561,5355,7,No,11,Excellent,High,0,8,2,Good,0,0,0,0
55.0,No,Travel_Rarely,Research & Development,4.0,Master,Life Sciences,Very High,Male,High,Officer,Healthcare Representative,High,Married,4035,16143,0,Yes,16,Excellent,Medium,0,4,2,Better,3,2,1,2
30.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,High,Female,Low,Officer,Manufacturing Director,Very High,Single,6091,24793,2,No,20,Outstanding,High,0,11,2,Better,5,4,0,2
